axis,x,pipeline,seed,shape,n_out,depth,width,macs,macs_eff,nw,n_in,insns,jited,map_bytes,n_maps,tail,build_ms,update_ms,lat_ns,lat_p50,lat_max,mpps,sparsity_real,lookups
depth,2,template,3,65-4-4-7,7,2,4,304,80,319,65,14976,67472,141744,10,1,2753.8997080000627,10.602502999972785,266,272,306,3.7593984962406015,0.0,
depth,2,modular,3,65-4-4-7,7,2,4,304,80,319,65,12374,57496,150836,13,3,2517.4496549999503,12.026097999978447,431,455,482,2.320185614849188,0.0,
depth,2,p1_static,7,65-4-4-7,7,2,4,304,80,319,65,614,2703,2516,5,1,149.8950260000811,21.074,60,62,75,16.666666666666668,0.0,
depth,2,hardcoded,7,65-4-4-7,7,2,4,304,80,319,65,1020,5006,2516,5,1,165.56846499997846,14.288,68,74,84,14.705882352941176,0.0,
depth,2,template,7,65-4-4-7,7,2,4,304,80,319,65,14976,67472,141744,10,1,3124.4083379999665,8.473176999928,265,269,277,3.7735849056603774,0.0,
depth,2,modular,7,65-4-4-7,7,2,4,304,80,319,65,12374,57496,150836,13,3,2405.0904340000443,7.128109000063887,430,448,559,2.3255813953488373,0.0,
depth,3,p1_static,42,65-4-4-4-7,7,3,4,320,96,339,65,633,2813,2516,5,1,144.538539999985,12.715,62,64,72,16.129032258064516,0.0,
depth,3,hardcoded,42,65-4-4-4-7,7,3,4,320,96,339,65,1044,5126,2516,5,1,197.35852999997405,14.777,69,71,73,14.492753623188406,0.0,
depth,3,template,42,65-4-4-4-7,7,3,4,320,96,339,65,16667,75345,141744,10,1,3371.3707830000885,13.080521999995653,306,313,384,3.2679738562091503,0.0,
depth,3,modular,42,65-4-4-4-7,7,3,4,320,96,339,65,12374,57496,150836,13,4,2474.6101399999816,11.888494000004357,491,521,585,2.0366598778004072,0.0,
depth,3,p1_static,1,65-4-4-4-7,7,3,4,320,96,339,65,626,2772,2516,5,1,165.16074800006209,10.476,60,61,75,16.666666666666668,0.0,
depth,3,hardcoded,1,65-4-4-4-7,7,3,4,320,96,339,65,1078,5274,2516,5,1,180.38600700003826,17.041,73,77,87,13.698630136986301,0.0,
depth,3,template,1,65-4-4-4-7,7,3,4,320,96,339,65,16667,75345,141744,10,1,3321.42327400004,9.284884000066995,305,312,383,3.278688524590164,0.0,
depth,3,modular,1,65-4-4-4-7,7,3,4,320,96,339,65,12374,57496,150836,13,4,2365.164748999973,8.164237000073626,509,526,545,1.9646365422396856,0.0,
depth,3,p1_static,2,65-4-4-4-7,7,3,4,320,96,339,65,676,2978,2516,5,1,168.75856399997247,10.457,67,70,84,14.925373134328359,0.0,
depth,3,hardcoded,2,65-4-4-4-7,7,3,4,320,96,339,65,1087,5263,2516,5,1,179.65602799995395,12.566,76,85,100,13.157894736842104,0.0,
depth,3,template,2,65-4-4-4-7,7,3,4,320,96,339,65,16667,75345,141744,10,1,3286.9220720000385,7.414013000015984,308,345,431,3.2467532467532467,0.0,
depth,3,modular,2,65-4-4-4-7,7,3,4,320,96,339,65,12374,57496,150836,13,4,2419.241128000067,41.11693999993804,499,520,564,2.004008016032064,0.0,
depth,3,p1_static,3,65-4-4-4-7,7,3,4,320,96,339,65,687,3020,2516,5,1,163.94900000000234,10.409,66,68,77,15.151515151515152,0.0,
depth,3,hardcoded,3,65-4-4-4-7,7,3,4,320,96,339,65,1088,5280,2516,5,1,199.33987800004616,25.245,76,84,94,13.157894736842104,0.0,
depth,3,template,3,65-4-4-4-7,7,3,4,320,96,339,65,16667,75345,141744,10,1,3456.7872640000132,7.4047499999778665,313,314,335,3.194888178913738,0.0,
depth,3,modular,3,65-4-4-4-7,7,3,4,320,96,339,65,12374,57496,150836,13,4,2450.2997560000495,7.665288999987752,521,552,645,1.9193857965451055,0.0,
depth,3,p1_static,7,65-4-4-4-7,7,3,4,320,96,339,65,671,2962,2516,5,1,210.47156800000266,22.734,80,81,82,12.5,0.0,
